#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
OK426,20240323013000:  150    ,     ----,  920----,  412----,  920----,     ----,     ----, 2640----, 2300----, 1174    , 1214----,     ----, 1368X   ,     ----,  422----,  472----,     ----, 9999----,     ----,-----    ,-----    ,     ----,-----    
OK426,20240323014500:  150    ,     ----,  920----,  328----,  940----,     ----,     ----, 2400----, 2460----, 1246    , 1294----,     ----, 1148X   , 2858----,  398----,  388----,     ----,   60----, 3597----,-----    ,-----    ,     ----,-----F   
OK426,20240323020000:  154    ,     ----,  920----,     ----,  980----,     ----,     ----, 2320----, 2360----, 1126    , 1182----,     ----, 1156X   , 2732----,  206----,     ----,     ----,   96----, 3489----,-----G   ,-----    ,     ----,-----    
OK426,20240323021500:  154    ,     ----,  860----,  180----,  980----,     ----,     ----, 2560----, 2320----, 1078    , 1150----,     ----, 1108X   , 2300----,  210----,  240----,     ----,  108----, 3498----,-----    ,-----    ,     ----,-----    
OK426,20240323023000:  150    ,     ----,  900----,     ----,  980----,     ----,     ----, 2400----, 2280----, 1030    , 1114----,     ----, 1060X   , 2522----,  206----,     ----,     ----,     ----, 3369----,-----G   ,-----    ,     ----,-----    
OK426,20240323024500:  150    ,     ----,  900----,     ----,  980----,     ----,     ----, 2240----, 2280----,  994    , 1014----,     ----,  992X   , 2618----,  214----,     ----,     ----,  108----, 3053----,-----G   ,-----    ,     ----,-----    
OK426,20240323030000:  154    ,     ----,  900----,     ----,  980----,     ----,     ----, 2520----, 2280----,  982    , 1014----,     ----, 1032X   , 2857----,  218----,     ----,     ----,  144----, 3013----,-----G   ,-----    ,     ----,-----    
OK426,20240323031500:  154    ,     ----,  920----,     ----,  980----,     ----,     ----, 2340----, 2120----,  962    , 1002----,     ----,  948X   , 2816----,  218----,     ----,     ----,  108----, 2816----,-----G   ,-----    ,     ----,-----    
OK426,20240323033000:  154    ,     ----,  900----,     ----,  980----,     ----,     ----, 2500----, 2220----,  998    , 1010----,     ----, 1016X   , 2811----,  218----,     ----,     ----,  156----, 2700----,-----G   ,-----    ,     ----,-----    
OK426,20240323034500:  154    ,     ----,  920----,  148----,  980----,     ----,     ----, 2580----, 2220----,  922    ,  990----,     ----,  936X   , 3222----,  218----,  208----,     ----,   84----, 2538----,-----    ,-----    ,     ----,-----    
OK426,20240323040000:  150    ,     ----,     ----,   52----,  980----,     ----,     ----, 2600----, 2160----,  802    ,  882----,     ----,  920X   , 3190----,  214----,  112----,     ----,  132----, 2321----,-----    ,-----    ,     ----,-----    
OK426,20240323041500:  154    ,     ----, 1100----,     ----,  980----,     ----,     ----,     ----, 2180----,  802    ,  906----,     ----,  908X   , 2476----,  210----,     ----,     ----,   96----, 2544----,-----G   ,-----    ,     ----,-----    
OK426,20240323043000:  154    ,     ----,  900----,     ----,  980----,     ----,     ----,     ----, 2180----,  726    ,  834----,     ----,  844X   , 2865----,  218----,     ----,     ----,   48----, 2389----,-----G   ,-----    ,     ----,-----    
