#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
WK546,20240323010000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2940----,  602    ,  666----,     ----,  596X   , 3472----,     ----,     ----,     ----,   48----, 1529----,-----G   ,-----    ,     ----,-----    
WK546,20240323011500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2880----,  606    ,  662----,     ----,  596X   , 3355----,     ----,     ----,     ----,   36----, 1562----,-----G   ,-----    ,     ----,-----    
WK546,20240323013000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2960----,  594    ,  646----,     ----,  644X   , 3089----,     ----,     ----,     ----,  108----, 1450----,-----G   ,-----    ,     ----,-----    
WK546,20240323014500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2940----,  606    ,  666----,     ----,  596X   , 3648----,     ----,     ----,     ----,   36----, 1480----,-----G   ,-----    ,     ----,-----    
WK546,20240323020000:  150    ,     ----,     ----,     ----,  980----,     ----,     ----,     ----, 2920----,  614    ,  666----,     ----,  596X   , 3418----,  202----,     ----,     ----,   36----, 1549----,-----G   ,-----    ,     ----,-----    
WK546,20240323021500:  154    ,     ----,     ----,     ----,  980----,     ----,     ----,     ----, 2920----,  610    ,  686----,     ----,  596X   , 3409----,  218----,     ----,     ----,   36----, 1533----,-----G   ,-----    ,     ----,-----F   
WK546,20240323023000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2840----,  622    ,  698----,     ----,  596X   , 2943----,     ----,     ----,     ----,   48----, 1729----,-----G   ,-----    ,     ----,-----    
WK546,20240323024500:  150    ,     ----,     ----,     ----,  980----,     ----,     ----,     ----, 2780----,  614    ,  678----,     ----,  596X   , 3440----,  222----,     ----,     ----,   48----, 1510----,-----G   ,-----    ,     ----,-----    
WK546,20240323030000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2780----,  610    ,  678----,     ----,  692X   , 3106----,     ----,     ----,     ----,   36----, 1576----,-----G   ,-----    ,     ----,-----    
WK546,20240323031500:  148    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2680----,  610    ,  690----,     ----,  692X   , 3481----,     ----,     ----,     ----,  120----, 1794----,-----G   ,-----    ,     ----,-----    
WK546,20240323033000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2600----,  606    ,  658----,     ----,  596X   , 2626----,     ----,     ----,     ----,   84----, 1560----,-----G   ,-----    ,     ----,-----    
WK546,20240323034500:  148    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2680----,  606    ,  662----,     ----,  680X   , 3332----,     ----,     ----,     ----,  132----, 1681----,-----G   ,-----    ,     ----,-----    
WK546,20240323040000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2540----,  582    ,  638----,     ----,  644X   , 3486----,     ----,     ----,     ----,  108----, 1643----,-----G   ,-----    ,     ----,-----    
WK546,20240323041500:  148    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2620----,  578    ,  650----,     ----,  632X   , 2837----,     ----,     ----,     ----,  108----, 1505----,-----G   ,-----    ,     ----,-----    
WK546,20240323043000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2660----,  594    ,  634----,     ----,  680X   , 3554----,     ----,     ----,     ----,  120----, 1471----,-----G   ,-----    ,     ----,-----    
WK546,20240323044500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2720----,  614    ,  682----,     ----,  596X   , 2989----,     ----,     ----,     ----,   84----, 1576----,-----G   ,-----    ,     ----,-----    
