#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
TO536,20240322231500:  162    ,     ----,  980----,  206----,  980----,  206----,     ----, 2700----,     ----,  642    ,  714----,     ----,  642X   , 3276----,  266----,  268----,     ----,   62----, 1552----,-----    ,-----    ,     ----,-----F   
TO536,20240322233000:  162    ,     ----,  920----,  246----,  980----,  246----,     ----, 2780----,     ----,  598    ,  706----,     ----,  598X   , 3288----,  306----,  307----,     ----,   96----, 1563----,-----    ,-----    ,     ----,-----    
TO536,20240322234500:  166    ,     ----,     ----,  174----,     ----,  174----,     ----, 2740----,     ----,  598    ,  710----,     ----,  598X   , 3278----,  234----,     ----,     ----,   73----, 1602----,-----G   ,-----    ,     ----,-----F   
#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
TO536,20240323000000:  182    ,     ----,     ----,  182----,     ----,  182----,     ----, 2820----,     ----,  686    ,  706----,     ----,  686X   , 3122----,     ----,     ----,     ----,   38----, 1583----,-----G   ,-----    ,     ----,-----    
TO536,20240323001500:  174    ,     ----,  920----,  174----, 1000----,  174----,     ----, 2780----,     ----,  638    ,  682----,     ----,  638X   , 3524----,     ----,     ----,     ----,   72----, 1466----,-----G   ,-----    ,     ----,-----    
TO536,20240323003000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2760----,     ----,  594    ,  702----,     ----,  594X   , 3327----,     ----,     ----,     ----,   96----, 1542----,-----G   ,-----    ,     ----,-----    
TO536,20240323004500:  170    ,     ----,     ----,  170----,     ----,  170----,     ----, 2780----,     ----,  594    ,  702----,     ----,  594X   , 3464----,     ----,     ----,     ----,   50----, 1608----,-----G   ,-----    ,     ----,-----F   
TO536,20240323010000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2700----,     ----,  690    ,  706----,     ----,  690X   , 3307----,     ----,     ----,     ----,   50----, 1586----,-----G   ,-----    ,     ----,-----    
TO536,20240323011500:  158    ,     ----,     ----,  130----,  960----,  130----,     ----, 2660----,     ----,  634    ,  702----,     ----,  634X   , 3135----,  190----,     ----,     ----,   73----, 1697----,-----G   ,-----    ,     ----,-----    
TO536,20240323013000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2620----,     ----,  602    ,  694----,     ----,  602X   , 3250----,     ----,     ----,     ----,   60----, 1572----,-----G   ,-----    ,     ----,-----    
TO536,20240323014500:  158    ,     ----,     ----,  158----,     ----,  158----,     ----, 2600----,     ----,  594    ,  694----,     ----,  594X   , 3254----,     ----,     ----,     ----,   85----, 1548----,-----G   ,-----    ,     ----,-----    
TO536,20240323020000:  166    ,  230----,     ----,  170----,     ----,  170----,     ----, 2580----,     ----,  594    ,  690----,     ----,  594X   , 3267----,  230----,     ----,     ----,   73----, 1582----,-----G   ,-----    ,     ----,-----    
TO536,20240323021500:  170    ,     ----,     ----,  170----,     ----,  170----,     ----, 2520----,     ----,  602    ,  686----,     ----,  602X   , 2878----,     ----,     ----,     ----,   84----, 1788----,-----G   ,-----    ,     ----,-----    
TO536,20240323023000:  158    ,     ----,     ----,  158----,     ----,  158----,     ----, 2420----,     ----,  598    ,  670----,     ----,  598X   , 3088----,     ----,     ----,     ----,   83----, 1767----,-----G   ,-----    ,     ----,-----    
TO536,20240323024500:  174    ,     ----,     ----,  174----,     ----,  174----,     ----, 2380----,     ----,  590    ,  646----,     ----,  590X   , 2972----,     ----,     ----,     ----,   62----, 1696----,-----G   ,-----    ,     ----,-----    
TO536,20240323030000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2280----,     ----,  590    ,  646----,     ----,  590X   , 3116----,     ----,     ----,     ----,   48----, 1536----,-----G   ,-----    ,     ----,-----    
TO536,20240323031500:  158    ,     ----,     ----,  158----,     ----,  158----,     ----, 2260----,     ----,  574    ,  626----,     ----,  574X   , 3354----,     ----,     ----,     ----,   73----, 1578----,-----G   ,-----    ,     ----,-----    
TO536,20240323033000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2280----,     ----,  558    ,  598----,     ----,  558X   , 3407----,     ----,     ----,     ----,   73----, 1523----,-----G   ,-----    ,     ----,-----    
TO536,20240323034500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2340----,     ----,  550    ,  606----,     ----,  550X   , 3721----,     ----,     ----,     ----,  134----, 1447----,-----G   ,-----    ,     ----,-----    
TO536,20240323040000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2500----,     ----,  554    ,  602----,     ----,  554X   , 3559----,     ----,     ----,     ----,  134----, 1328----,-----G   ,-----    ,     ----,-----    
TO536,20240323041500:  162    ,     ----,     ----,  118----,     ----,  118----,     ----, 2540----,     ----,  554    ,  598----,     ----,  554X   , 3588----,  178----,     ----,     ----,   85----, 1485----,-----G   ,-----    ,     ----,-----    
TO536,20240323043000:  162    ,     ----,  920----,  142----,  980----,  142----,     ----, 2540----,     ----,  542    ,  590----,     ----,  542X   , 3441----,  202----,     ----,     ----,   85----, 1458----,-----G   ,-----    ,     ----,-----    
TO536,20240323044500:  170    ,     ----,  920----,  158----,  980----,  158----,     ----, 2580----,     ----,  546    ,  598----,     ----,  546X   , 3664----,  218----,     ----,     ----,   85----, 1465----,-----G   ,-----    ,     ----,-----    
