UT                                    BX_FGS-D               BY_FGS-D               BZ_FGS-D
                                        (@_1_)                 (@_2_)                 (@_3_)
dd-mm-yyyy hh:mm:ss.ms         nT_GSE_(All_Qs)        nT_GSE_(All_Qs)        nT_GSE_(All_Qs)
17-03-2015 03:18:45.807               -5.33156                11.7951                31.2027
17-03-2015 03:18:49.885               -1.41464                11.0025                32.3745
17-03-2015 03:18:53.963               -4.77370                9.51700                29.7985
17-03-2015 03:18:58.041               -4.77269                11.4870                30.5592
17-03-2015 03:19:02.120               -2.16380                11.0064                33.4322
17-03-2015 03:19:06.198               -2.13544                9.41473                31.7677
17-03-2015 03:19:10.276               -4.68351                12.1509                31.4812
17-03-2015 03:19:14.354               -5.50836                8.98434                30.1230
17-03-2015 03:19:18.432               -6.46270                9.02591                28.0951
17-03-2015 03:19:22.510               -7.38818                7.25167                29.3714
17-03-2015 03:19:26.589               -6.29783                9.26379                31.6082
17-03-2015 03:19:30.667               -8.23624                12.9303                36.2932
17-03-2015 03:19:34.745               -3.84031                10.5562                30.8933
17-03-2015 03:19:38.823                1.91041                7.58911                32.7154
17-03-2015 03:19:42.901               -1.15511                4.56407                31.2014
17-03-2015 03:19:46.979              -0.386855                3.50567                31.2371
17-03-2015 03:19:51.058                1.22161                2.64299                28.8954
17-03-2015 03:19:55.136               0.504667                6.14933                33.6777
17-03-2015 03:19:59.214               -2.24328                8.65000                30.8464
17-03-2015 03:20:03.292               -4.35141                8.10024                28.0797
17-03-2015 03:20:07.370               -4.45522                10.2012                30.2192
17-03-2015 03:20:11.449               0.622237                8.43902                26.2821
17-03-2015 03:20:15.527               -6.01634                12.1399                26.7771
17-03-2015 03:20:19.605               -5.12174                9.44452                25.3837
17-03-2015 03:20:23.683               -10.2814                4.17470                24.8402
17-03-2015 03:20:27.761               -12.1224                2.27861                28.3137
17-03-2015 03:20:31.839               -14.3419                15.4107                24.3669
17-03-2015 03:20:35.918               -5.55844                13.5597                24.9659
17-03-2015 03:20:39.996               -2.80106                8.22970                27.7163
17-03-2015 03:20:44.074               -5.75248                11.2999                26.8873
17-03-2015 03:20:48.152               -7.11600                13.3779                24.1657
17-03-2015 03:20:52.230               -5.47928                11.7874                27.0157
